样本ID,人群,时期,年龄_年前
722,YRI,现代,0
723,YRI,现代,0
724,YRI,现代,0
725,YRI,现代,0
726,YRI,现代,0
727,YRI,现代,0
728,YRI,现代,0
729,YRI,现代,0
730,YRI,现代,0
731,YRI,现代,0
732,YRI,现代,0
733,YRI,现代,0
734,YRI,现代,0
735,YRI,现代,0
736,YRI,现代,0
737,YRI,现代,0
738,YRI,现代,0
739,YRI,现代,0
740,YRI,现代,0
741,YRI,现代,0
742,YRI,现代,0
743,YRI,现代,0
744,YRI,古代_远期,25000
745,YRI,现代,0
746,YRI,古代_近期,5000
747,YRI,现代,0
748,YRI,现代,0
749,YRI,现代,0
750,YRI,现代,0
751,YRI,现代,0
752,YRI,现代,0
753,YRI,现代,0
754,YRI,现代,0
755,YRI,古代_近期,5000
756,YRI,现代,0
757,YRI,现代,0
758,YRI,现代,0
759,YRI,古代_远期,25000
760,YRI,现代,0
761,YRI,现代,0
762,YRI,现代,0
763,YRI,现代,0
764,YRI,现代,0
765,YRI,现代,0
766,YRI,现代,0
767,YRI,现代,0
768,YRI,现代,0
769,YRI,现代,0
770,YRI,现代,0
771,YRI,古代_远期,25000
772,YRI,现代,0
773,YRI,现代,0
774,YRI,现代,0
775,YRI,现代,0
776,YRI,现代,0
777,YRI,现代,0
778,YRI,现代,0
779,YRI,现代,0
780,YRI,现代,0
781,YRI,现代,0
782,YRI,现代,0
783,YRI,现代,0
784,YRI,现代,0
785,YRI,现代,0
786,YRI,现代,0
787,YRI,古代_近期,5000
788,YRI,现代,0
789,YRI,现代,0
790,YRI,现代,0
791,YRI,现代,0
792,YRI,古代_近期,5000
793,YRI,现代,0
794,YRI,现代,0
795,YRI,现代,0
796,YRI,现代,0
797,YRI,现代,0
798,YRI,现代,0
799,YRI,现代,0
800,YRI,现代,0
801,YRI,现代,0
802,YRI,古代_远期,25000
803,YRI,现代,0
804,YRI,现代,0
805,YRI,现代,0
806,YRI,现代,0
807,YRI,现代,0
808,YRI,现代,0
809,YRI,现代,0
810,YRI,现代,0
811,YRI,现代,0
812,YRI,现代,0
813,YRI,现代,0
814,YRI,现代,0
815,YRI,现代,0
816,YRI,现代,0
817,YRI,现代,0
818,YRI,现代,0
819,YRI,现代,0
820,YRI,现代,0
821,YRI,现代,0
822,YRI,现代,0
823,YRI,现代,0
824,YRI,古代_近期,5000
825,YRI,现代,0
826,YRI,现代,0
827,YRI,现代,0
828,YRI,现代,0
829,YRI,现代,0
830,YRI,现代,0
831,YRI,现代,0
832,YRI,现代,0
833,YRI,现代,0
834,YRI,现代,0
835,YRI,现代,0
836,YRI,现代,0
837,YRI,现代,0
838,YRI,现代,0
839,YRI,现代,0
840,YRI,现代,0
841,YRI,现代,0
842,YRI,现代,0
843,YRI,现代,0
844,YRI,现代,0
845,YRI,现代,0
846,YRI,现代,0
847,YRI,现代,0
848,YRI,现代,0
849,YRI,现代,0
850,YRI,现代,0
851,YRI,现代,0
852,YRI,现代,0
853,YRI,现代,0
854,YRI,现代,0
855,YRI,现代,0
856,YRI,现代,0
857,YRI,古代_近期,5000
858,YRI,现代,0
859,YRI,现代,0
860,YRI,现代,0
861,YRI,现代,0
862,YRI,古代_远期,25000
863,YRI,现代,0
864,YRI,现代,0
865,YRI,现代,0
866,YRI,现代,0
867,YRI,现代,0
868,YRI,现代,0
869,YRI,现代,0
870,YRI,现代,0
871,YRI,现代,0
872,YRI,现代,0
873,YRI,现代,0
874,YRI,现代,0
875,YRI,现代,0
876,YRI,现代,0
877,YRI,现代,0
878,YRI,现代,0
879,YRI,古代_远期,25000
880,YRI,现代,0
881,YRI,现代,0
882,YRI,现代,0
883,YRI,现代,0
884,YRI,现代,0
885,YRI,现代,0
886,YRI,古代_远期,25000
887,YRI,现代,0
888,YRI,现代,0
889,YRI,古代_近期,5000
890,YRI,现代,0
891,YRI,现代,0
892,YRI,现代,0
893,YRI,现代,0
894,YRI,现代,0
895,YRI,现代,0
896,YRI,现代,0
897,YRI,现代,0
898,YRI,现代,0
899,YRI,现代,0
900,YRI,现代,0
901,YRI,现代,0
902,YRI,现代,0
903,YRI,现代,0
904,YRI,现代,0
905,YRI,古代_近期,5000
906,YRI,现代,0
907,YRI,古代_近期,5000
908,YRI,现代,0
909,YRI,古代_近期,5000
910,YRI,现代,0
911,YRI,现代,0
912,YRI,现代,0
913,YRI,现代,0
914,YRI,现代,0
915,YRI,现代,0
